game_time,home,away,side,odds,model_prob,edge
2025-05-27T22:11:00Z,Cleveland Guardians,Los Angeles Dodgers,HOME,114,0.434,-0.033
2025-05-27T22:11:00Z,Cleveland Guardians,Los Angeles Dodgers,AWAY,-134,0.566,-0.007
2025-05-27T22:36:00Z,Baltimore Orioles,St. Louis Cardinals,HOME,-112,0.434,-0.094
2025-05-27T22:36:00Z,Baltimore Orioles,St. Louis Cardinals,AWAY,-104,0.566,0.056
2025-05-27T22:41:00Z,Detroit Tigers,San Francisco Giants,HOME,-102,0.434,-0.071
2025-05-27T22:41:00Z,Detroit Tigers,San Francisco Giants,AWAY,-116,0.566,0.029
2025-05-27T22:46:00Z,Philadelphia Phillies,Atlanta Braves,HOME,-116,0.434,-0.103
2025-05-27T22:46:00Z,Philadelphia Phillies,Atlanta Braves,AWAY,-102,0.566,0.061
2025-05-27T23:06:00Z,Tampa Bay Rays,Minnesota Twins,HOME,102,0.434,-0.061
2025-05-27T23:06:00Z,Tampa Bay Rays,Minnesota Twins,AWAY,-120,0.566,0.02
2025-05-27T23:11:00Z,New York Mets,Chicago White Sox,HOME,-275,0.434,-0.299
2025-05-27T23:11:00Z,New York Mets,Chicago White Sox,AWAY,225,0.566,0.258
2025-05-27T23:41:00Z,Milwaukee Brewers,Boston Red Sox,HOME,-120,0.434,-0.111
2025-05-27T23:41:00Z,Milwaukee Brewers,Boston Red Sox,AWAY,102,0.566,0.071
2025-05-27T23:41:00Z,Kansas City Royals,Cincinnati Reds,HOME,-104,0.434,-0.076
2025-05-27T23:41:00Z,Kansas City Royals,Cincinnati Reds,AWAY,-112,0.566,0.038
2025-05-28T00:06:00Z,Chicago Cubs,Colorado Rockies,HOME,-330,0.434,-0.333
2025-05-28T00:06:00Z,Chicago Cubs,Colorado Rockies,AWAY,265,0.566,0.292
2025-05-28T00:06:00Z,Texas Rangers,Toronto Blue Jays,HOME,-162,0.434,-0.184
2025-05-28T00:06:00Z,Texas Rangers,Toronto Blue Jays,AWAY,136,0.566,0.142
2025-05-28T00:11:00Z,Houston Astros,Oakland Athletics,HOME,-210,0.434,-0.243
2025-05-28T00:11:00Z,Houston Astros,Oakland Athletics,AWAY,176,0.566,0.204
2025-05-28T01:38:00Z,Los Angeles Angels,New York Yankees,HOME,165,0.434,0.057
2025-05-28T01:38:00Z,Los Angeles Angels,New York Yankees,AWAY,-183,0.566,-0.081
2025-05-28T01:41:00Z,Arizona Diamondbacks,Pittsburgh Pirates,HOME,-250,0.434,-0.28
2025-05-28T01:41:00Z,Arizona Diamondbacks,Pittsburgh Pirates,AWAY,205,0.566,0.238
2025-05-28T01:41:00Z,San Diego Padres,Miami Marlins,HOME,-172,0.434,-0.198
2025-05-28T01:41:00Z,San Diego Padres,Miami Marlins,AWAY,144,0.566,0.156
2025-05-28T01:41:00Z,Seattle Mariners,Washington Nationals,HOME,-144,0.434,-0.156
2025-05-28T01:41:00Z,Seattle Mariners,Washington Nationals,AWAY,122,0.566,0.115
