gameDate,home,away,side,starter_xfip,bullpen_fip,bullpen_fatigue,lineup_wrc,park_factor,win
2025-05-27,Cleveland Guardians,Los Angeles Dodgers,HOME,,,,,1.0,
2025-05-27,Cleveland Guardians,Los Angeles Dodgers,AWAY,,,,,1.0,
2025-05-27,Baltimore Orioles,St. Louis Cardinals,HOME,,,,,1.0,
2025-05-27,Baltimore Orioles,St. Louis Cardinals,AWAY,,,,,1.0,
2025-05-27,Detroit Tigers,San Francisco Giants,HOME,,,,,1.0,
2025-05-27,Detroit Tigers,San Francisco Giants,AWAY,,,,,1.0,
2025-05-27,Philadelphia Phillies,Atlanta Braves,HOME,,,,,1.0,
2025-05-27,Philadelphia Phillies,Atlanta Braves,AWAY,,,,,1.0,
2025-05-27,Tampa Bay Rays,Minnesota Twins,HOME,,,,,1.0,
2025-05-27,Tampa Bay Rays,Minnesota Twins,AWAY,,,,,1.0,
2025-05-27,New York Mets,Chicago White Sox,HOME,,,,,1.0,
2025-05-27,New York Mets,Chicago White Sox,AWAY,,,,,1.0,
2025-05-27,Kansas City Royals,Cincinnati Reds,HOME,,,,,1.0,
2025-05-27,Kansas City Royals,Cincinnati Reds,AWAY,,,,,1.0,
2025-05-27,Milwaukee Brewers,Boston Red Sox,HOME,,,,,1.0,
2025-05-27,Milwaukee Brewers,Boston Red Sox,AWAY,,,,,1.0,
2025-05-27,Chicago Cubs,Colorado Rockies,HOME,,,,,1.0,
2025-05-27,Chicago Cubs,Colorado Rockies,AWAY,,,,,1.0,
2025-05-27,Texas Rangers,Toronto Blue Jays,HOME,,,,,1.0,
2025-05-27,Texas Rangers,Toronto Blue Jays,AWAY,,,,,1.0,
2025-05-27,Houston Astros,Athletics,HOME,,,,,1.0,
2025-05-27,Houston Astros,Athletics,AWAY,,,,,1.0,
2025-05-27,Los Angeles Angels,New York Yankees,HOME,,,,,1.0,
2025-05-27,Los Angeles Angels,New York Yankees,AWAY,,,,,1.0,
2025-05-27,Arizona Diamondbacks,Pittsburgh Pirates,HOME,,,,,1.0,
2025-05-27,Arizona Diamondbacks,Pittsburgh Pirates,AWAY,,,,,1.0,
2025-05-27,Seattle Mariners,Washington Nationals,HOME,,,,,1.0,
2025-05-27,Seattle Mariners,Washington Nationals,AWAY,,,,,1.0,
2025-05-27,San Diego Padres,Miami Marlins,HOME,,,,,1.0,
2025-05-27,San Diego Padres,Miami Marlins,AWAY,,,,,1.0,
